2015-08-24,36
2015-08-25,"36,02"
2015-08-26,"35,74"
2015-08-27,"36,075"
2015-08-28,"36,05"
2015-08-31,"36,02"
2015-09-01,"35,39"
2015-09-02,"35,465"
2015-09-03,"35,04"
2015-09-04,"35,66"
2015-09-08,"35,925"
2015-09-09,"35,96"
2015-09-10,"36,11"
2015-09-11,"35,81"
2015-09-14,"35,885"
2015-09-15,"35,94"
2015-09-16,"36,25"
2015-09-17,"36,9"
2015-09-18,"37,17"
2015-09-21,"37,27"
2015-09-22,"37,32"
2015-09-23,"37,245"
2015-09-24,"37,53"
2015-09-25,"37,78"
2015-09-28,"37,85"
2015-09-29,"37,85"
2015-09-30,"37,79"
2015-10-01,"37,685"
2015-10-02,"37,68"
2015-10-05,"37,39"
2015-10-06,"36,74"
2015-10-07,"36,76"
2015-10-08,"36,46"
2015-10-09,"36,55"
2015-10-12,"36,68"
2015-10-13,"36,695"
2015-10-14,"36,825"
2015-10-15,"36,8"
2015-10-16,"37,28"
2015-10-19,"37,65"
2015-10-20,"37,7"
2015-10-21,"37,75"
2015-10-22,"37,35"
2015-10-23,"36,82"
2015-10-26,"36,69"
2015-10-27,"36,51"
2015-10-28,"37,13"
2015-10-29,"37,45"
2015-10-30,"37,12"
2015-11-02,"36,88"
2015-11-03,"36,94"
2015-11-04,"37,55"
2015-11-05,"36,99"
2015-11-06,"37,27"
2015-11-09,"37,47"
2015-11-10,"37,585"
2015-11-11,"37,7799"
2015-11-12,"37,8"
2015-11-13,"37,795"
2015-11-16,"37,835"
2015-11-17,"37,67"
2015-11-18,"37,5"
2015-11-19,"37,49"
2015-11-20,"37,5"
2015-11-23,"37,47"
2015-11-24,"37,07"
2015-11-25,"36,67"
2015-11-27,"36,565"
2015-11-30,"36,82"
2015-12-01,"36,4"
2015-12-02,"36,45"
2015-12-03,"36,29"
2015-12-04,"35,91"
2015-12-07,"35,4"
2015-12-08,"35,47"
2015-12-09,"35,67"
2015-12-10,"35,58"
2015-12-11,"35,21"
2015-12-14,"35,25"
2015-12-15,"35,245"
2015-12-16,"35,22"
2015-12-17,35
2015-12-18,"34,96"
2015-12-21,"34,81"
2015-12-22,"34,95"
2015-12-23,"35,01"
2015-12-24,"35,45"
2015-12-28,"35,24"
2015-12-29,"35,3"
2015-12-30,"35,85"
2015-12-31,"36,4"
2016-01-04,"36,83"
2016-01-05,"35,8"
2016-01-06,"36,6"
2016-01-07,"35,34"
2016-01-08,"36,17"
2016-01-11,36
2016-01-12,"36,5"
2016-01-13,"33,11"
2016-01-14,"32,67"
2016-01-15,"32,41"
2016-01-19,"32,53"
2016-01-20,"32,69"
2016-01-21,"33,06"
2016-01-22,"33,2"
2016-01-25,"32,61"
2016-01-26,"32,33"
2016-01-27,"31,32"
2016-01-28,"31,2"
2016-01-29,"32,1"
2016-02-01,"32,7701"
2016-02-02,"32,64"
2016-02-03,"33,07"
2016-02-04,"33,37"
2016-02-05,"32,76"
2016-02-08,"32,465"
2016-02-09,"33,055"
2016-02-10,"32,96"
2016-02-11,"33,085"
2016-02-12,"33,34"
