Days,Values
2015-11-19,29.4
2015-11-20,29.530001
2015-11-23,29.35
2015-11-24,29.110001
2015-11-25,29.459999
2015-11-27,29.48
2015-11-30,29.59
2015-12-01,29.98
2015-12-02,29.85
2015-12-03,29.5
2015-12-04,29.6
2015-12-07,29.74
2015-12-08,29.75
2015-12-09,29.58
2015-12-10,29.299999
2015-12-11,29.030001
2015-12-14,29.139999
2015-12-15,29.370001
2015-12-16,29.295
2015-12-17,29.625
2015-12-18,29.605
2015-12-21,29.299999
2015-12-22,29.34
2015-12-23,29.620001
2015-12-24,29.870001
2015-12-28,29.91
2015-12-29,30.219999
2015-12-30,30.5
2015-12-31,30.475
2016-01-04,30.299999
2016-01-05,29.9
2016-01-06,29.66
2016-01-07,29.24
2016-01-08,29.129999
2016-01-11,28.790001
2016-01-12,28.84
2016-01-13,28.591
2016-01-14,28.08
2016-01-15,27.870001
2016-01-19,27.75
2016-01-20,27.110001
2016-01-21,27.41
2016-01-22,28.370001
2016-01-25,28.42
2016-01-26,28.629999
2016-01-27,28.92
2016-01-28,28.995001
2016-01-29,28.629999
2016-02-01,28.93
2016-02-02,28.809999
2016-02-03,28.98
2016-02-04,28.68
2016-02-05,28.629999
2016-02-08,27.872
2016-02-09,27.540001
2016-02-10,28.870001
2016-02-11,27.908001
2016-02-12,27.32
2016-02-16,28
2016-02-17,28.1
2016-02-18,28.190001
2016-02-19,28.35
2016-02-22,28.610001
2016-02-23,28.040001
2016-02-24,27.709999
2016-02-25,28.01
2016-02-26,27.959999
2016-02-29,28.040001
2016-03-01,28.34
2016-03-02,28.42
2016-03-03,28.540001
2016-03-04,28.65
2016-03-07,28.65
2016-03-08,28.66
2016-03-09,28.790001
2016-03-10,29.02
2016-03-11,29.334999
2016-03-14,29.23
2016-03-15,29.129999
2016-03-16,29.35
2016-03-17,29.68
2016-03-18,29.76
2016-03-21,33.75
2016-03-22,34.5
2016-03-23,33.689999
2016-03-24,34.549999
2016-03-28,34.799999
2016-03-29,35.02
2016-03-30,35.240002
2016-03-31,35.349998
2016-04-01,35.419998
2016-04-04,35.419998
2016-04-05,34.919998
2016-04-06,34.599998
2016-04-07,34.740002
2016-04-08,34.43
2016-04-11,34.77
2016-04-12,34.990002
2016-04-13,35.110001
2016-04-14,35.349998
2016-04-15,35.695
2016-04-18,35.685001
2016-04-19,35.700001
2016-04-20,35.764999
2016-04-21,35.369999
2016-04-22,35.540001
2016-04-25,35.654999
2016-04-26,35.384998
2016-04-27,35.299999
2016-04-28,35.07
2016-04-29,34.994999
2016-05-02,35.43
2016-05-03,35.049999
2016-05-04,35.060001
2016-05-05,35.099998
2016-05-06,34.900002
2016-05-09,34.709999
2016-05-10,34.720001
2016-05-11,34.639999
2016-05-12,34.049999
2016-05-13,34
2016-05-16,33.919998
2016-05-17,33.75
2016-05-18,34
2016-05-19,34.060001
2016-05-20,34.32
2016-05-23,34.580002
2016-05-24,34.68
2016-05-25,34.740002
2016-05-26,34.43
2016-05-27,34.310001
2016-05-31,34.5
2016-06-01,34.43
2016-06-02,33.990002
2016-06-03,34.060001
2016-06-06,33.98
2016-06-07,33.75
2016-06-08,33.869999
2016-06-09,33.669998
2016-06-10,33.34
2016-06-13,33.084999
2016-06-14,32.959999
2016-06-15,33.055
2016-06-16,32.465
2016-06-17,32.759998
2016-06-20,33.369999
2016-06-21,33.07
2016-06-22,32.639999
2016-06-23,32.77
2016-06-24,32.099998
2016-06-27,31.200001
2016-06-28,31.32
2016-06-29,32.330002
2016-06-30,32.610001
2016-07-01,33.200001
2016-07-05,33.060001
2016-07-06,32.689999
2016-07-07,32.529999
2016-07-08,32.41
2016-07-11,32.669998
2016-07-12,33.110001
2016-07-13,36.5
2016-07-14,36
2016-07-15,36.169998
2016-07-18,35.34
2016-07-19,36.599998
2016-07-20,35.799999
2016-07-21,36.830002
2016-07-22,36.400002
2016-07-25,35.849998
2016-07-26,35.299999
2016-07-27,35.240002
2016-07-28,35.450001
2016-07-29,35.009998
2016-08-01,34.950001
2016-08-02,34.810001
2016-08-03,34.959999
2016-08-04,35
2016-08-05,35.220001
2016-08-08,35.244999
2016-08-09,35.25
2016-08-10,35.209999
2016-08-11,35.580002
2016-08-12,35.669998
2016-08-15,35.470001
2016-08-16,35.400002
